season,name,major,height,weight,hometown,position,games_played,games_started,passing_yards,pass_completions,pass_attempts,interceptions_thrown,passing_touchdowns,longest_completion,pass_completion_percentage,average_yards_per_pass,average_passing_yards_per_game,rushing_attempts,rushing_yards,rushing_touchdowns,longest_rush,average_yards_per_rush,average_rushing_yards_per_game
2019,"cousin, iaan",,72,165,"carrollton, ga.",rb,3,0,,,,,,,,,,6,52,0,28,8.7,17.3
2019,"grier, antavius",,69,158,"jackson, ga.",rb,10,0,,,,,,,,,,26,263,2,54,10.1,26.3
2019,"simmons, brandon",,72,229,"pleasant grove, ala.",rb,5,0,,,,,,,,,,24,146,0,33,6.1,29.2
2019,"reed, tj",,69,173,"daphne, ala.",rb,14,2,,,,,,,,,,39,346,0,26,8.9,24.7
2019,"terry, shaquil",,69,172,"bessemer, ala.",rb,14,14,,,,,,,,,,51,383,4,44,7.5,27.4
2019,"adeleke, adeolu",,70,189,"conyers, ga.",rb,11,0,,,,,,,,,,14,125,0,30,8.9,11.4
2019,"foster, isaac",,70,165,"summerville, ga.",rb,8,7,0,0,0,0,0,0,.00,0.0,0.0,34,506,4,75,14.9,63.3
2019,"farrow, nykeem",,69,165,"cochran, ga.",rb,3,0,,,,,,,,,,1,1,0,1,1.0,0.3
2019,"ficklin, kevin",,66,187,"dacula, ga.",rb,14,5,,,,,,,,,,31,225,4,31,7.3,16.1
2019,"daniels, preston",,71,225,"sandersville, ga.",rb,4,0,,,,,,,,,,8,24,0,9,3.0,6.0
2019,"outlaw, sam",,73,221,"cumming, ga.",rb,5,0,,,,,,,,,,16,58,0,7,3.6,11.6
2019,"rechsteiner, bronson",,72,230,"acworth, ga.",rb,14,11,60,1,1,0,1,60,1.00,60.0,4.3,112,909,7,85,8.1,64.9
2019,"radam, cade",,72,205,"canton, ga.",rb,2,0,,,,,,,,,,2,7,0,5,3.5,3.5
2019,"gilley, cole",,70,206,"fayetteville, ga.",rb,,,,,,,,,,,,,,,,,
2019,"glover, kyle",,71,204,"eastman, ga.",rb,14,3,,,,,,,,,,59,211,2,18,3.6,15.1
